rgiid,period,area,dmdtda,err_dmdtda,reg,is_cor
RGI60-06.00074,2000-01-01_2020-01-01,1897000.0,-0.0929,0.1502,6,False
RGI60-06.00074,2010-01-01_2020-01-01,1897000.0,-0.0631,0.2722,6,False
RGI60-06.00075,2000-01-01_2010-01-01,263000.0,0.5671,0.3833,6,False
RGI60-06.00075,2000-01-01_2020-01-01,263000.0,-0.0376,0.1991,6,False
RGI60-06.00075,2010-01-01_2020-01-01,263000.0,-0.6423,0.3922,6,False
RGI60-06.00076,2000-01-01_2010-01-01,190000.0,0.4215,0.402,6,False
RGI60-06.00076,2000-01-01_2020-01-01,190000.0,-0.0955,0.2105,6,False
RGI60-06.00076,2010-01-01_2020-01-01,190000.0,-0.6125,0.4317,6,False
RGI60-06.00077,2000-01-01_2010-01-01,214000.0,0.3657,0.3817,6,False
RGI60-06.00077,2000-01-01_2020-01-01,214000.0,-0.0888,0.2038,6,False
RGI60-06.00077,2010-01-01_2020-01-01,214000.0,-0.5434,0.4151,6,False
RGI60-06.00078,2000-01-01_2010-01-01,684000.0,-0.0796,0.2924,6,False
RGI60-06.00078,2000-01-01_2020-01-01,684000.0,0.0236,0.159,6,False
RGI60-06.00078,2010-01-01_2020-01-01,684000.0,0.1267,0.3186,6,False
RGI60-06.00079,2000-01-01_2010-01-01,461000.0,-0.0577,0.3412,6,False
RGI60-06.00079,2000-01-01_2020-01-01,461000.0,-0.0333,0.1734,6,False
RGI60-06.00079,2010-01-01_2020-01-01,461000.0,-0.0089,0.3204,6,False
RGI60-06.00080,2000-01-01_2010-01-01,302000.0,0.5,0.3898,6,False
RGI60-06.00080,2000-01-01_2020-01-01,302000.0,0.1009,0.1879,6,False
RGI60-06.00080,2010-01-01_2020-01-01,302000.0,-0.2983,0.3585,6,False
RGI60-06.00081,2000-01-01_2010-01-01,827000.0,0.2083,0.2952,6,False
RGI60-06.00081,2000-01-01_2020-01-01,827000.0,-0.0733,0.1613,6,False
RGI60-06.00081,2010-01-01_2020-01-01,827000.0,-0.355,0.3,6,False
RGI60-06.00082,2000-01-01_2010-01-01,395000.0,0.1838,0.3055,6,False
RGI60-06.00082,2000-01-01_2020-01-01,395000.0,-0.0159,0.1598,6,False
RGI60-06.00082,2010-01-01_2020-01-01,395000.0,-0.2156,0.3071,6,False
RGI60-06.00083,2000-01-01_2010-01-01,123000.0,0.4406,0.4306,6,False
RGI60-06.00083,2000-01-01_2020-01-01,123000.0,-0.3255,0.2334,6,False
RGI60-06.00083,2010-01-01_2020-01-01,123000.0,-1.0916,0.4994,6,False
RGI60-06.00084,2000-01-01_2010-01-01,600000.0,0.4511,0.3253,6,False
RGI60-06.00084,2000-01-01_2020-01-01,600000.0,-0.0178,0.1642,6,False
RGI60-06.00084,2010-01-01_2020-01-01,600000.0,-0.4866,0.2972,6,False
RGI60-06.00085,2000-01-01_2010-01-01,577000.0,0.3045,0.3243,6,False
RGI60-06.00085,2000-01-01_2020-01-01,577000.0,-0.0998,0.1677,6,False
RGI60-06.00085,2010-01-01_2020-01-01,577000.0,-0.504,0.3033,6,False
RGI60-06.00086,2000-01-01_2010-01-01,230000.0,-0.1832,0.3642,6,False
RGI60-06.00086,2000-01-01_2020-01-01,230000.0,-0.415,0.203,6,False
RGI60-06.00086,2010-01-01_2020-01-01,230000.0,-0.6468,0.374,6,False
RGI60-06.00087,2000-01-01_2010-01-01,445000.0,0.9123,0.3421,6,False
RGI60-06.00087,2000-01-01_2020-01-01,445000.0,0.148,0.1778,6,False
RGI60-06.00087,2010-01-01_2020-01-01,445000.0,-0.6163,0.3401,6,False
RGI60-06.00088,2000-01-01_2010-01-01,172000.0,0.3775,0.4051,6,False
RGI60-06.00088,2000-01-01_2020-01-01,172000.0,-0.2556,0.2219,6,False
RGI60-06.00088,2010-01-01_2020-01-01,172000.0,-0.8888,0.4484,6,False
RGI60-06.00089,2000-01-01_2010-01-01,1745000.0,-0.4776,0.2769,6,False
RGI60-06.00089,2000-01-01_2020-01-01,1745000.0,-0.3126,0.1527,6,False
RGI60-06.00089,2010-01-01_2020-01-01,1745000.0,-0.1476,0.2887,6,False
RGI60-06.00090,2000-01-01_2010-01-01,313000.0,-0.7212,0.3761,6,False
RGI60-06.00090,2000-01-01_2020-01-01,313000.0,-0.3879,0.2063,6,False
RGI60-06.00090,2010-01-01_2020-01-01,313000.0,-0.0545,0.3725,6,False
RGI60-06.00091,2000-01-01_2010-01-01,122000.0,0.1819,0.5636,6,False
RGI60-06.00091,2000-01-01_2020-01-01,122000.0,-0.0268,0.2986,6,False
RGI60-06.00091,2010-01-01_2020-01-01,122000.0,-0.2355,0.5766,6,False
RGI60-06.00092,2000-01-01_2010-01-01,295000.0,1.6037,0.4576,6,False
RGI60-06.00092,2000-01-01_2020-01-01,295000.0,0.5939,0.2177,6,False
RGI60-06.00092,2010-01-01_2020-01-01,295000.0,-0.4159,0.3698,6,False
RGI60-06.00093,2000-01-01_2010-01-01,377000.0,0.6989,0.3805,6,False
RGI60-06.00093,2000-01-01_2020-01-01,377000.0,0.1262,0.1798,6,False
RGI60-06.00093,2010-01-01_2020-01-01,377000.0,-0.4465,0.3686,6,False
RGI60-06.00094,2000-01-01_2010-01-01,1202000.0,0.3493,0.3022,6,False
RGI60-06.00094,2000-01-01_2020-01-01,1202000.0,-0.0604,0.1622,6,False
RGI60-06.00094,2010-01-01_2020-01-01,1202000.0,-0.47,0.3152,6,False
RGI60-06.00095,2000-01-01_2010-01-01,84000.0,0.6306,0.5138,6,False
RGI60-06.00095,2000-01-01_2020-01-01,84000.0,-0.0349,0.2382,6,False
RGI60-06.00095,2010-01-01_2020-01-01,84000.0,-0.7005,0.5115,6,False
RGI60-06.00096,2000-01-01_2010-01-01,752000.0,-0.2693,0.291,6,False
RGI60-06.00096,2000-01-01_2020-01-01,752000.0,-0.095,0.1545,6,False
RGI60-06.00096,2010-01-01_2020-01-01,752000.0,0.0793,0.2998,6,False
RGI60-06.00097,2000-01-01_2010-01-01,167000.0,0.2549,0.4003,6,False
RGI60-06.00097,2000-01-01_2020-01-01,167000.0,0.0689,0.2034,6,False
RGI60-06.00097,2010-01-01_2020-01-01,167000.0,-0.117,0.3881,6,False
RGI60-06.00098,2000-01-01_2010-01-01,582000.0,-0.3394,0.3048,6,False
RGI60-06.00098,2000-01-01_2020-01-01,582000.0,-0.3632,0.1725,6,False
RGI60-06.00098,2010-01-01_2020-01-01,582000.0,-0.3869,0.3197,6,False
RGI60-06.00099,2000-01-01_2010-01-01,195000.0,-0.0908,0.384,6,False
RGI60-06.00099,2000-01-01_2020-01-01,195000.0,-0.1442,0.2066,6,False
RGI60-06.00099,2010-01-01_2020-01-01,195000.0,-0.1976,0.3844,6,False
RGI60-06.00100,2000-01-01_2010-01-01,804000.0,-0.0492,0.2916,6,False
RGI60-06.00100,2000-01-01_2020-01-01,804000.0,-0.2709,0.1576,6,False
RGI60-06.00100,2010-01-01_2020-01-01,804000.0,-0.4926,0.2982,6,False
RGI60-06.00101,2000-01-01_2010-01-01,253000.0,0.224,0.4082,6,False
RGI60-06.00101,2000-01-01_2020-01-01,253000.0,-0.0633,0.2103,6,False
RGI60-06.00101,2010-01-01_2020-01-01,253000.0,-0.3507,0.3871,6,False
RGI60-06.00102,2000-01-01_2010-01-01,587000.0,0.0109,0.3418,6,False
RGI60-06.00102,2000-01-01_2020-01-01,587000.0,-0.3451,0.1851,6,False
RGI60-06.00102,2010-01-01_2020-01-01,587000.0,-0.701,0.3383,6,False
RGI60-06.00103,2000-01-01_2010-01-01,194000.0,-0.1709,0.3556,6,False
RGI60-06.00103,2000-01-01_2020-01-01,194000.0,-0.073,0.187,6,False
RGI60-06.00103,2010-01-01_2020-01-01,194000.0,0.0249,0.354,6,False
RGI60-06.00104,2000-01-01_2010-01-01,1532000.0,-0.0193,0.2796,6,False
RGI60-06.00104,2000-01-01_2020-01-01,1532000.0,-0.1763,0.1365,6,False
RGI60-06.00104,2010-01-01_2020-01-01,1532000.0,-0.3334,0.2824,6,False
RGI60-06.00105,2000-01-01_2010-01-01,732000.0,-0.5239,0.2889,6,False
RGI60-06.00105,2000-01-01_2020-01-01,732000.0,-0.3233,0.1506,6,False
RGI60-06.00105,2010-01-01_2020-01-01,732000.0,-0.1228,0.274,6,False
RGI60-06.00106,2000-01-01_2010-01-01,882000.0,-0.03,0.2791,6,False
